Urdu,RomanUrdu
انکہ سے دور نہ ہو دل سے اتر جایے گا,aankh se duur na ho dil se utar jaaegaa
وقت کا کیا ہے گزرتا ہے گزر جایے گا,vaqt kaa kyaa hai guzartaa hai guzar jaaegaa
اتنا مانوس نہ ہو خلوت غم سے اپنی,itnaa maanoos na ho khalvate ham se apnee
تو کبہی خود کو بہی دیکہے گا تو ڈر جایے گا,too kabhee khud ko bhee dekhegaa to dar jaaegaa
ڈوبتے ڈوبتے کشتی کو اچہالا دے دوں,doobte doobte kashtee ko uchhaalaa de duun
میں نہیں کویی تو ساحل پہ اتر جایے گا,main naheen koee to saahil pe utar jaaegaa
زندگی تیری عطا ہے تو یہ جانے والا,zindagee teree ataa hai to ye jaane vaalaa
تیری بخشش تری دہلیز پہ دہر جایے گا,teree bakhshish tiree dahleez pe dhar jaaegaa
ضبط لازم ہے مگر دکہ ہے قیامت کا فرازؔ,zabt laazim hai magar dukh hai qayaamat kaa faraaz
ظالم اب کے بہی نہ رویے گا تو مر جایے گا,zaalim ab ke bhee na roegaa to mar jaaegaa
عاشقی میں میرؔ جیسے خواب مت دیکہا کرو,aashiqee men meer jaise khvaab mat dekhaa karo
باولے ہو جاو گے مہتاب مت دیکہا کرو,baavle ho jaaoge mahtaab mat dekhaa karo
جستہ جستہ پڑہ لیا کرنا مضامین وفا,jasta jasta padh liyaa karnaa mazaameenevafaa
پر کتاب عشق کا ہر باب مت دیکہا کرو,par kitaabeishq kaa har baab mat dekhaa karo
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں,is tamaashe men ulat jaatee hain aksar kashtiyaan
ڈوبنے والوں کو زیر اب مت دیکہا کرو,doobne vaalon ko zereaab mat dekhaa karo
مے کدے میں کیا تکلف مے کشی میں کیا حجاب,maikade men kyaa takalluf maikashee men kyaa hijaab
بزم ساقی میں ادب اداب مت دیکہا کرو,bazmesaaqee men adab aadaab mat dekhaa karo
ہم سے درویشوں کے گہر او تو یاروں کی طرح,ham se durveshon ke ghar aao to yaaron kee tarah
ہر جگہ خس خانہ و برفاب مت دیکہا کرو,har jagah khaskhaana o barfaab mat dekhaa karo
مانگے تانگے کی قباییں دیر تک رہتی نہیں,maangetaange kee qabaaen der tak rahtee naheen
یار لوگوں کے لقب القاب مت دیکہا کرو,yaar logon ke laqabalqaab mat dekhaa karo
تشنگی میں لب بہگو لینا بہی کافی ہے فرازؔ,tishnagee men lab bhigo lenaa bhee kaafee hai faraaz
جام میں صہبا ہے یا زہراب مت دیکہا کرو,jaam men sahbaa hai yaa zahraab mat dekhaa karo
اب اور کیا کسی سے مراسم بڑہاییں ہم,ab aur kyaa kisee se maraasim badhaaen ham
یہ بہی بہت ہے تجہ کو اگر بہول جاییں ہم,ye bhee bahut hai tujh ko agar bhuul jaaen ham
صحرایے زندگی میں کویی دوسرا نہ تہا,sahraaezindagee men koee doosraa na thaa
سنتے رہے ہیں اپ ہی اپنی صداییں ہم,sunte rahe hain aap hee apnee sadaaen ham
اس زندگی میں اتنی فراغت کسے نصیب,is zindagee men itnee faraa hat kise naseeb
اتنا نہ یاد ا کہ تجہے بہول جاییں ہم,itnaa na yaad aa ki tujhe bhuul jaaen ham
تو اتنی دل زدہ تو نہ تہی اے شب فراق,too itnee dilzada to na thee ai shabefiraaq
ا تیرے راستے میں ستارے لٹاییں ہم,aa tere raaste men sitaare lutaaen ham
وہ لوگ اب کہاں ہیں جو کہتے تہے کل فرازؔ,vo log ab kahaan hain jo kahte the kal faraaz
ہے ہے خدا نہ کردہ تجہے بہی رلاییں ہم,he he khudaanakarda tujhe bhee rulaaen ham
اب کے ہم بچہڑے تو شاید کبہی خوابوں میں ملیں,ab ke ham bichhde to shaayad kabhee khvaabon men milen
جس طرح سوکہے ہویے پہول کتابوں میں ملیں,jis tarah sookhe hue phuul kitaabon men milen
ڈہونڈ اجڑے ہویے لوگوں میں وفا کے موتی,dhoondh ujde hue logon men vafaa ke motee
یہ خزانے تجہے ممکن ہے خرابوں میں ملیں,ye khazaane tujhe mumkin hai kharaabon men milen
غم دنیا بہی غم یار میں شامل کر لو,hameduniyaa bhee hameyaar men shaamil kar lo
نشہ بڑہتا ہے شرابیں جو شرابوں میں ملیں,nashsha badhtaa hai sharaaben jo sharaabon men milen
تو خدا ہے نہ مرا عشق فرشتوں جیسا,too khudaa hai na miraa ishq farishton jaisaa
دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں,donon insaan hain to kyuun itne hijaabon men milen
اج ہم دار پہ کہینچے گیے جن باتوں پر,aaj ham daar pe kheenche gae jin baaton par
کیا عجب کل وہ زمانے کو نصابوں میں ملیں,kyaa ajab kal vo zamaane ko nisaabon men milen
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ,ab na vo main na vo too hai na vo maazee hai faraaz
جیسے دو شخص تمنا کے سرابوں میں ملیں,jaise do shakhs tamannaa ke saraabon men milen
اب کے تجدید وفا کا نہیں امکاں جاناں,ab ke tajdeedevafaa kaa naheen imkaan jaanaan
یاد کیا تجہ کو دلاییں ترا پیماں جاناں,yaad kyaa tujh ko dilaaen tiraa paimaan jaanaan
یوں ہی موسم کی ادا دیکہ کے یاد ایا ہے,yoonhee mausam kee adaa dekh ke yaad aayaa hai
کس قدر جلد بدل جاتے ہیں انساں جاناں,kis qadar jald badal jaate hain insaan jaanaan
زندگی تیری عطا تہی سو ترے نام کی ہے,zindagee teree ataa thee so tire naam kee hai
ہم نے جیسے بہی بسر کی ترا احساں جاناں,ham ne jaise bhee basar kee tiraa ehsaan jaanaan
دل یہ کہتا ہے کہ شاید ہے فسردہ تو بہی,dil ye kahtaa hai ki shaayad hai fasurda too bhee
دل کی کیا بات کریں دل تو ہے ناداں جاناں,dil kee kyaa baat karen dil to hai naadaan jaanaan
اول اول کی محبت کے نشے یاد تو کر,avval avval kee mohabbat ke nashe yaad to kar
بے پیے بہی ترا چہرہ تہا گلستاں جاناں,bepiye bhee tiraa chehra thaa gulistaan jaanaan
اخر اخر تو یہ عالم ہے کہ اب ہوش نہیں,aakhir aakhir to ye aalam hai ki ab hosh naheen
رگ مینا سلگ اٹہی کہ رگ جاں جاناں,ragemeenaa sulag utthee ki ragejaan jaanaan
مدتوں سے یہی عالم نہ توقع نہ امید,muddaton se yahee aalam na tavaqqo na umiid
دل پکارے ہی چلا جاتا ہے جاناں جاناں,dil pukaare hee chalaa jaataa hai jaanaan jaanaan
ہم بہی کیا سادہ تہے ہم نے بہی سمجہ رکہا تہا,ham bhee kyaa saada the ham ne bhee samajh rakkhaa thaa
غم دوراں سے جدا ہے غم جاناں جاناں,hamedauraan se judaa hai hamejaanaan jaanaan
اب کے کچہ ایسی سجی محفل یاراں جاناں,ab ke kuchh aisee sajee mahfileyaaraan jaanaan
