Urdu,RomanUrdu
مدتوں ترک تمنا پہ لہو رویا ہے,muddaton tarketamannaa pe lahoo royaa hai
ورنہ اتنے تو مراسم تہے کہ اتے جاتے,varna itne to maraasim the ki aate jaate
بیچ میں ہم اٹک گیے ہوں گے,biich men ham atak gae honge
یہ حسن و عشق ہی کا کام ہے شبہ کریں کس پر,ye husn o ishq hee kaa kaam hai shubah karen kis par
کانٹوں کے دکہ سہنے میں تسکین بہی تہی ارام بہی تہا,kaanton ke dukh sahne men taskeen bhee thee aaraam bhee thaa
روحوں کے پردہ پوش گناہوں سے بے خبر,roohon ke pardaposh gunaahon se bekhabar
جس دہجی کو گلیوں میں لیے پہرتے ہیں طفلاں,jis dhajjee ko galiyon men liye phirte hain tiflaan
من کی دنیا میں نہ پایا میں نے افرنگی کا راج,man kee duniyaa men na paayaa main ne afrangee kaa raaj
شبان ہجراں دراز چوں زلف و روز وصلت چوں عمر کوتاہ,shabaanehijraan daraaz chuun zulf o rozevaslat chuun umrekotaah
تن بہ بند ہوس در ندادہ رکہتے ہیں,tanebabandehavas dar nadaada rakhte hain
وایے محرومی خذف چین لب ساحل ہوں میں,vaae mahroomee khazaf chain lab saahil huun main
دشمنی نے میری کہویا غیر کو,dushmanee ne meree khoyaa hair ko
سیدہا سادہ افق سے نکلا تہا,seedhaasaada ufuq se niklaa thaa
بقول عشق کے سانچے میں ڈہل تو سکتی ہے,baqaul ishq ke saanche men dhal to saktee hai
کب ٹہہرے گا درد اے دل کب رات بسر ہوگی,kab thahregaa dard ai dil kab raat basar hogee
ہم بہی اب ازاد ہیں یارو ابہی یہ مت کہو,ham bhee ab aazaad hain yaaro abhee ye mat kaho
دنیا جو چہوڑ دی ہے تو عقبی بہی چہوڑ دے,duniyaa jo chhod dee hai to uqbaa bhee chhod de
سب میں اک شخص ہی ملا ہے مجہے,sab men ik shakhs hee milaa hai mujhe
ہوا ہوں عشق کی غارتگری سے شرمندہ,huaa huun ishq kee haaratgaree se sharminda
بڑے وہ ایے دل و جاں کے لوٹنے والے,bade vo aae dil o jaan ke lootne vaale
جسے کہتے ہیں نالہ وہ اسی عالم کا عنقا ہے,jise kahte hain naala vo usee aalam kaa anqaa hai
کہ رہے چشم خریدار پہ احساں میرا,ki rahe chashmekhareedaar pe ehsaan meraa
ایک ادا سے بے نیاز قرب و دوری کر دیا,ek adaa se beniyaazequrbodooree kar diyaa
تا کجا افسوس گرمی ہاۓ صحبت اے خیال,taa kujaa afsosegarmeehaaesohbat ai khayaal
سانپ ہوتے ہیں استینوں میں,saanp hote hain aasteenon men
اپنی پوشاک کے چہن جانے پہ افسوس نہ کر,apnee poshaak ke chhin jaane pe afsos na kar
غمزہ و عشوہ و ادا کیا ہے,hamza o ishva o adaa kyaa hai
ہوں روز بلکہ لطف و کرم ایسے شخص ہیں,hon roz balki lutf o karam aise shakhs hain
اب ملتے ہیں جب بہی فرصت ہوتی ہے,ab milte hain jab bhee fursat hotee hai
یہ ہے مے کدہ یہاں رند ہیں یہاں سب کا ساقی امام ہے,ye hai maikada yahaan rind hain yahaan sab kaa saaqee imaam hai
اب احتیاط کی کویی صورت نہیں رہی,ab ehtiyaat kee koee soorat naheen rahee
یہ صبر کا پودا تو نہ پہولا نہ پہلا ہے,ye sabr kaa paudaa to na phoolaa na phalaa hai
اگرچہ گوشہ گزیں ہوں میں شاعروں میں میرؔ,agarche goshaguzeen huun main shaairon men meer
داد لینے کے لیے حسن خداداد ایا,daad lene ke liye husnekhudaadaad aayaa
نقصاں نہیں جنوں سے جو سودا کرے کویی,nuqsaan naheen junoon se jo saudaa kare koee
کس غضب کا سنگہار کر بیٹہے,kis hazab kaa singhaar kar baithe
میں تیرے شہر کے سارے دییے بجہا دوں گا,main tere shahar ke saare diye bujhaa doongaa
لگا کے تجہ سے دل اپنا بہت خراب ہوا,lagaa ke tujh se dil apnaa bahut kharaab huaa
صاحبو حسن کی پہچان کویی کہیل نہیں,saahibo husn kee pahchaan koee khel naheen
سنتے ہیں جو بہشت کی تعریف سب درست,sunte hain jo bahisht kee taareef sab durust
اج سویے ہیں تہ خاک نہ جانے یہاں کتنے,aaj soe hain tahekhaak na jaane yahaan kitne
دل کو اظہار سخن انداز فتح الباب ہے,dil ko izhaaresukhan andaazefathulbaab hai
بیچ میں مجہ کو سان لیتے ہیں,biich men mujh ko saan lete hain
اس کو بہی اپنے خدا ہونے پہ اتنا ہی یقیں تہا,us ko bhee apne khudaa hone pe itnaa hee yaqeen thaa
جیسے پانی میں لچک جایے کرن کیا کہنا,jaise paanee men lachak jaae kiran kyaa kahnaa
اچہی صورت والے سارے پتہر دل ہوں ممکن ہے,achchhee soorat vaale saare patthardil hon mumkin hai
مچل مچل کے ہواییں بلا رہی ہیں تمہیں,machal machal ke havaaen bulaa rahee hain tumhen
پہر مرے دل میں اٹہا شور ہواوں جیسا,phir mire dil men uthaa shor havaaon jaisaa
